,date,symbol,open,close,low,high,volume,change,,BUY,SELL,vol/meanVal,SUM BUY,SUM BUY
6289,26/12/2013,AAPL,81.15714257,80.55714414,80.48285671,81.35713957,51002000,-0.664112276,81.69714357,FALSE,SELL,0.589827698,231.9946992,
6290,27/12/2013,AAPL,80.54571529,80.01285557,79.92857357,80.62999729,56471100,-0.675655245,81.69714357,FALSE,FALSE,0.683863639,231.9946992,
6291,30/12/2013,AAPL,79.637146,79.21714014,78.90285486,80.01285557,63407400,-0.994484479,81.69714357,FALSE,FALSE,0.776419583,231.9946992,
6292,31/12/2013,AAPL,79.16714471,80.14571386,79.14286043,80.18285371,55771100,1.172187886,81.69714357,FALSE,FALSE,0.699880532,231.9946992,
6293,02/01/2014,AAPL,79.38285829,79.01857,78.86000057,79.57571414,58671200,-1.406368233,81.69714357,FALSE,FALSE,0.75028175,231.9946992,
6294,03/01/2014,AAPL,78.98000329,77.28285986,77.20428471,79.09999843,98116900,-2.196585107,81.69714357,FALSE,FALSE,1.252794201,231.9946992,
6295,06/01/2014,AAPL,76.77857214,77.70428471,76.228569,78.11428829,103152700,0.545301831,81.69714357,FALSE,FALSE,1.394265158,231.9946992,
6296,07/01/2014,AAPL,77.76000214,77.14857486,76.84571071,77.99428557,79302300,-0.715159855,81.69714357,FALSE,FALSE,1.039469736,231.9946992,
6297,08/01/2014,AAPL,76.97285457,77.637146,76.95571143,77.93714143,64632400,0.633286021,81.69714357,FALSE,FALSE,0.881619402,231.9946992,
6298,09/01/2014,AAPL,78.11428829,76.64571386,76.478569,78.12285614,69787200,-1.277007452,81.35713957,FALSE,FALSE,1.037857825,231.9946992,
6299,10/01/2014,AAPL,77.11856843,76.134285,75.87285614,77.25714114,76244000,-0.667263483,80.62999729,FALSE,FALSE,1.088711169,231.9946992,
6300,13/01/2014,AAPL,75.70143129,76.53285986,75.69714357,77.5,94623200,0.523515601,80.18285371,FALSE,FALSE,1.304146901,231.9946992,
6301,14/01/2014,AAPL,76.88857271,78.05571743,76.80857086,78.10428614,83140400,1.989808786,80.18285371,FALSE,FALSE,1.088640638,231.9946992,
6302,15/01/2014,AAPL,79.07428743,79.62285614,78.80857086,80.02857214,97909700,2.007718027,79.57571414,FALSE,FALSE,1.249738653,231.9946992,
6303,16/01/2014,AAPL,79.271431,79.17857357,78.81143186,79.550003,57319500,-0.557983714,80.02857214,FALSE,FALSE,0.694293709,231.9946992,
6304,17/01/2014,AAPL,78.78285986,77.23857114,77.12857057,78.86714171,106684900,-2.450160874,80.02857214,FALSE,FALSE,1.294361041,231.9946992,
6305,21/01/2014,AAPL,77.28428643,78.43856814,77.202858,78.58142857,82131700,1.553624028,80.02857214,FALSE,FALSE,0.986215957,231.9946992,
6306,22/01/2014,AAPL,78.70143129,78.78713986,78.25856786,79.612854,94996300,0.444388173,80.02857214,FALSE,FALSE,1.170229003,231.9946992,
6307,23/01/2014,AAPL,78.56285857,79.45428471,77.83000186,79.5,100809800,0.846768713,80.02857214,FALSE,FALSE,1.218290515,231.9946992,
6308,24/01/2014,AAPL,79.14286043,78.01000214,77.82142643,79.37428286,107338700,-1.817752907,80.02857214,FALSE,FALSE,1.242854283,231.9946992,
6309,27/01/2014,AAPL,78.58142857,78.64286043,77.96428686,79.25714114,138719700,0.811252753,80.02857214,FALSE,FALSE,1.539280704,231.9946992,
6310,28/01/2014,AAPL,72.68000029,72.35713957,71.724289,73.57142643,266380800,-7.992741904,80.02857214,FALSE,FALSE,2.764221382,231.9946992,
6311,29/01/2014,AAPL,71.99285886,71.53571314,71.23143,72.48143,125702500,-1.135238948,80.02857214,FALSE,FALSE,1.107090124,231.9946992,
6312,30/01/2014,AAPL,71.79142757,71.39714057,70.95714571,72.35713957,169625400,-0.193711035,79.612854,FALSE,FALSE,1.439951796,231.9946992,
6313,31/01/2014,AAPL,70.73999786,71.51428229,70.50714114,71.64714057,116199300,0.164070604,79.612854,FALSE,FALSE,0.929810637,231.9946992,
6314,03/02/2014,AAPL,71.80142971,71.64714057,71.32857514,72.53285986,100366000,0.185778667,79.612854,FALSE,FALSE,0.766978725,231.9946992,
6315,04/02/2014,AAPL,72.26428229,72.684288,71.82286071,72.77999871,94170300,1.447576863,79.612854,FALSE,FALSE,0.723124126,231.9946992,
6316,05/02/2014,AAPL,72.365715,73.22714229,72.32142643,73.61142729,82086200,0.746866076,79.5,FALSE,FALSE,0.624557943,231.9946992,
6317,06/02/2014,AAPL,72.865715,73.21571357,72.54428857,73.35713957,64441300,-0.015607218,79.37428286,FALSE,FALSE,0.495169543,231.9946992,
6318,07/02/2014,AAPL,74.48285671,74.23999786,73.91143043,74.70428471,92570100,1.398995161,79.25714114,FALSE,FALSE,0.731761977,231.9946992,
6319,10/02/2014,AAPL,74.094284,75.56999971,74,75.99857329,86389800,1.791489613,74.70428471,FALSE,FALSE,0.690973793,231.9946992,
6320,11/02/2014,AAPL,75.80142971,76.565712,75.64286043,76.82142643,70564200,1.317602612,75.99857329,BUY,FALSE,0.589050277,233.3123018,233.3123018
6321,12/02/2014,AAPL,76.70714571,76.55999757,76.17713929,77.08000186,77025200,-0.007463432,76.82142643,BUY,FALSE,0.768626279,233.3048384,233.3048384
6322,13/02/2014,AAPL,76.37999729,77.775711,76.31428529,77.83571629,76849500,1.587922503,77.08000186,BUY,FALSE,0.806025312,234.8927609,234.8927609
6323,14/02/2014,AAPL,77.49571229,77.71286014,77.315712,77.99714657,68231100,-0.080810396,77.83571629,BUY,FALSE,0.792774724,234.8119505,234.8119505
6324,18/02/2014,AAPL,78,77.99857329,77.94428257,78.74143214,65062900,0.367652342,77.99714657,BUY,FALSE,0.800583295,235.1796028,235.1796028
6325,19/02/2014,AAPL,77.82142643,76.76714329,76.33571629,78.12714386,78442000,-1.578785288,78.74143214,BUY,FALSE,1.009042301,233.6008175,233.6008175
6326,20/02/2014,AAPL,76.14142614,75.87857057,75.57142643,76.71428686,76464500,-1.157490929,78.74143214,FALSE,SELL,1.00391604,233.6008175,
6327,21/02/2014,AAPL,76.112854,75.03571314,74.94285586,76.36714171,69696200,-1.110797718,78.74143214,FALSE,FALSE,0.9218579,233.6008175,
6328,24/02/2014,AAPL,74.73571771,75.36428829,74.63143157,75.702858,72227400,0.437891687,78.74143214,FALSE,FALSE,0.948743294,233.6008175,
6329,25/02/2014,AAPL,75.62571714,74.58000186,74.42857357,75.65285486,57988000,-1.040660567,78.74143214,FALSE,FALSE,0.782613953,233.6008175,
6330,26/02/2014,AAPL,74.80142971,73.90714257,73.65714257,75,69054300,-0.902198006,78.74143214,FALSE,FALSE,0.96911379,233.6008175,
6331,27/02/2014,AAPL,73.87714386,75.38143157,73.72142786,75.54000086,75470500,1.994785549,78.74143214,FALSE,FALSE,1.061408405,233.6008175,
6332,28/02/2014,AAPL,75.58285529,75.17713929,74.58856957,76.10713957,92992200,-0.271011409,78.74143214,FALSE,FALSE,1.310697428,233.6008175,
6333,03/03/2014,AAPL,74.77428443,75.39428714,74.68714143,75.80714414,59695300,0.288848248,78.74143214,FALSE,FALSE,0.822669598,233.6008175,
6334,04/03/2014,AAPL,75.85713957,75.89142614,75.39571386,76.09143071,64785000,0.659385504,78.12714386,FALSE,FALSE,0.903438925,233.6008175,
6335,05/03/2014,AAPL,75.84571071,76.05142971,75.58999629,76.39286043,50015700,0.210832209,76.71428686,FALSE,FALSE,0.697748681,233.6008175,
6336,06/03/2014,AAPL,76.112854,75.82142643,75.44285586,76.34857171,46372200,-0.302431237,76.39286043,FALSE,FALSE,0.67363356,233.6008175,
6337,07/03/2014,AAPL,75.87000271,75.77714543,75.15000157,75.99714657,55182400,-0.058401697,76.39286043,FALSE,FALSE,0.838260189,233.6008175,
6338,10/03/2014,AAPL,75.48000329,75.84571071,75.47714229,76.19000243,44646000,0.090482796,76.39286043,FALSE,FALSE,0.693494547,233.6008175,
6339,11/03/2014,AAPL,76.49285886,76.58428186,76.08428186,76.96286014,69806100,0.973781039,76.39286043,BUY,FALSE,1.13284516,234.5745986,234.5745986
6340,12/03/2014,AAPL,76.35857386,76.65856929,76,76.76428229,49831600,0.097000883,76.96286014,BUY,FALSE,0.793471925,234.6715995,234.6715995
6341,13/03/2014,AAPL,76.77714543,75.80714414,75.594284,77.094284,64435700,-1.11067185,76.96286014,BUY,FALSE,1.058410275,233.5609276,233.5609276
6342,14/03/2014,AAPL,75.54142757,74.95571143,74.71428686,75.84143071,59299800,-1.123156293,77.094284,FALSE,SELL,0.992029941,233.5609276,
6343,17/03/2014,AAPL,75.38571171,75.24857329,75.12142943,75.70999914,49886200,0.390713202,77.094284,FALSE,FALSE,0.88439764,233.5609276,
6344,18/03/2014,AAPL,75.12857057,75.91428371,75.02857214,75.99571229,52411800,0.884681783,77.094284,FALSE,FALSE,0.945616386,233.5609276,
6345,19/03/2014,AAPL,76.03713986,75.89428714,75.57142643,76.60571286,56189000,-0.026340985,77.094284,FALSE,FALSE,1.036912643,233.5609276,
6346,20/03/2014,AAPL,75.69857029,75.52857214,75.33571629,76.09571071,52099600,-0.481874214,77.094284,FALSE,FALSE,0.950617158,233.5609276,
6347,21/03/2014,AAPL,75.98999786,76.12428286,75.19000243,76.25,93511600,0.788722338,77.094284,FALSE,FALSE,1.68858058,233.5609276,
6348,24/03/2014,AAPL,76.91714471,77.02714543,76.43714143,77.21428686,88925200,1.186037538,77.094284,BUY,FALSE,1.501817038,234.7469652,234.7469652
6349,25/03/2014,AAPL,77.35713957,77.85571286,77.08428186,77.96428686,70573300,1.075682378,77.21428686,BUY,FALSE,1.108951556,235.8226475,235.8226475
6350,26/03/2014,AAPL,78.07428743,77.11142729,76.98000329,78.42857357,74942000,-0.955980676,77.96428686,BUY,FALSE,1.17618107,234.8666669,234.8666669
6351,27/03/2014,AAPL,77.14571386,76.77999871,76.44571686,77.35713957,55507900,-0.429804754,78.42857357,FALSE,SELL,0.838140758,234.8666669,
6352,28/03/2014,AAPL,76.90285486,76.69428257,76.32142643,76.99143214,50141000,-0.111638632,78.42857357,FALSE,FALSE,0.767448937,234.8666669,
6353,31/03/2014,AAPL,77.03285986,76.67713929,76.56143186,77.25856786,42167300,-0.022352748,78.42857357,FALSE,FALSE,0.654581057,234.8666669,
6354,01/04/2014,AAPL,76.82286071,77.37857057,76.681427,77.41000371,50190000,0.914785406,78.42857357,FALSE,FALSE,0.788569807,234.8666669,
6355,02/04/2014,AAPL,77.48285671,77.50714114,77.18000029,77.63999943,45105200,0.166157851,78.42857357,FALSE,FALSE,0.711161537,234.8666669,
6356,03/04/2014,AAPL,77.34143071,76.97000129,76.80571743,77.5,40586000,-0.69301982,78.42857357,FALSE,FALSE,0.651290168,234.8666669,
6357,04/04/2014,AAPL,77.115715,75.974289,75.797142,77.14286043,68812800,-1.293636837,78.42857357,FALSE,FALSE,1.125036479,234.8666669,
6358,07/04/2014,AAPL,75.431427,74.78142543,74.55571743,75.84285743,72462600,-1.570088494,78.42857357,FALSE,FALSE,1.234560245,234.8666669,
6359,08/04/2014,AAPL,75.02714543,74.77714543,74.09999843,75.16000371,60972100,-0.005723346,78.42857357,FALSE,FALSE,1.06877076,234.8666669,
6360,09/04/2014,AAPL,74.662857,75.76000214,74.57428743,75.78428643,51542400,1.314381158,77.63999943,FALSE,FALSE,0.918944621,234.8666669,
6361,10/04/2014,AAPL,75.81143186,74.78285986,74.73857114,76.03428643,59913000,-1.2897865,77.63999943,FALSE,FALSE,1.114686803,234.8666669,
6362,11/04/2014,AAPL,74.14286043,74.23000329,73.87714386,74.69000243,67929400,-0.739282465,77.63999943,FALSE,FALSE,1.253558825,234.8666669,
6363,14/04/2014,AAPL,74.55714414,74.525711,73.887146,74.594284,51418500,0.398366829,77.63999943,FALSE,FALSE,0.918711165,234.8666669,
6364,15/04/2014,AAPL,74.32428743,73.99428557,73.047142,74.51999671,66622500,-0.713076632,77.63999943,FALSE,FALSE,1.171009892,234.8666669,
6365,16/04/2014,AAPL,74.00714114,74.14428714,73.44857029,74.44142914,53691400,0.202720479,77.5,FALSE,FALSE,0.917230204,234.8666669,
6366,17/04/2014,AAPL,74.28571314,74.99143214,74.17142486,75.39428714,71083600,1.142562742,77.14286043,FALSE,FALSE,1.196792932,234.8666669,
6367,21/04/2014,AAPL,75.04856871,75.88143157,74.85142514,76.01999671,45637200,1.186801485,76.03428643,FALSE,FALSE,0.730840327,234.8666669,
6368,22/04/2014,AAPL,75.47285457,75.95714571,75.21428686,75.97571557,50640800,0.099779536,76.03428643,FALSE,FALSE,0.84222683,234.8666669,
6369,23/04/2014,AAPL,75.58000186,74.96428686,74.92142486,75.87571714,98735000,-1.307130278,76.03428643,FALSE,FALSE,1.703940748,234.8666669,
6370,24/04/2014,AAPL,81.17285914,81.11000057,80.10428614,81.42857357,189977900,8.198188721,76.03428643,BUY,FALSE,3.077991775,243.0648556,243.0648556
6371,25/04/2014,AAPL,80.64714057,81.70571143,80.565712,81.71286014,97568800,0.734448102,81.42857357,BUY,FALSE,1.291191562,243.7993037,243.7993037
6372,28/04/2014,AAPL,81.82857514,84.87000271,81.79285429,85.10713957,167371400,3.872790806,81.71286014,BUY,FALSE,2.109798613,247.6720945,247.6720945
6373,29/04/2014,AAPL,84.81999971,84.61856843,84.21571357,85.13999943,84344400,-0.296258127,85.10713957,BUY,FALSE,0.944773721,247.3758364,247.3758364
6374,30/04/2014,AAPL,84.662857,84.29856871,84.25714114,85.63285829,114160200,-0.378167258,85.13999943,BUY,FALSE,1.233267039,246.9976691,246.9976691
6375,01/05/2014,AAPL,84.57142643,84.49714657,83.76571657,84.97142786,61012000,0.235564925,85.63285829,FALSE,SELL,0.626914603,246.9976691,
6376,02/05/2014,AAPL,84.62000271,84.65428929,84.24428557,84.88571171,47878600,0.185973996,85.63285829,FALSE,FALSE,0.488292419,246.9976691,
6377,05/05/2014,AAPL,84.30571743,85.85142514,84.28571314,85.85713957,71766800,1.414146714,85.63285829,BUY,FALSE,0.749658711,248.4118158,248.4118158
6378,06/05/2014,AAPL,85.97142786,84.91571814,84.91571814,86.344284,93641100,-1.089914347,85.85713957,BUY,FALSE,0.952163691,247.3219015,247.3219015
6379,07/05/2014,AAPL,85.03571314,84.61856843,83.96142571,85.32714086,70716100,-0.349934872,86.344284,FALSE,SELL,0.688934413,247.3219015,
6380,08/05/2014,AAPL,84.03571314,83.99857329,83.771431,84.91571814,57574300,-0.73269396,86.344284,FALSE,FALSE,0.576644122,247.3219015,
6381,09/05/2014,AAPL,83.50571443,83.64857486,82.90428929,83.75,72899400,-0.416671875,86.344284,FALSE,FALSE,0.8417617,247.3219015,
6382,12/05/2014,AAPL,83.92713929,84.69000243,83.91428371,84.80857086,53302200,1.245003363,86.344284,FALSE,FALSE,0.633521056,247.3219015,
6383,13/05/2014,AAPL,84.57142643,84.82286071,84.38571171,84.934288,39934300,0.15687599,86.344284,FALSE,FALSE,0.549079734,247.3219015,
6384,14/05/2014,AAPL,84.63285829,84.83856957,84.53428643,85.34285743,41601000,0.018519606,86.344284,FALSE,FALSE,0.609194813,247.3219015,
6385,15/05/2014,AAPL,84.95714571,84.11714171,84.00571443,85.228569,57711500,-0.850353635,86.344284,FALSE,FALSE,0.945585128,247.3219015,
6386,16/05/2014,AAPL,84.08999629,85.35857386,83.62857057,85.36142729,69064100,1.475837296,86.344284,FALSE,FALSE,1.137746647,247.3219015,
6387,19/05/2014,AAPL,85.40714257,86.37000271,85.33285529,86.76142886,79438800,1.1849177,86.344284,BUY,FALSE,1.264524583,248.5068192,248.5068192
