Date,Open,High,Low,Close,Change,order,RSI,EMA
"Sep 01, 2013",135.14,145.81,134.81,138.34,2.19%,,75.39322317,123.8224908
"Sep 02, 2013",138.63,146.5,134.89,135.85,-1.82%,,70.85225557,125.2374919
"Sep 03, 2013",135.61,138.34,133,136.77,0.67%,,71.53445103,126.5942575
"Sep 04, 2013",136.53,144.5,123.61,126.74,-7.62%,,56.11467381,126.6114037
"Sep 05, 2013",126.76,131.44,121.83,126.43,-0.24%,,55.71493171,126.5900621
"Sep 06, 2013",126.49,127.34,119.15,119.15,-5.93%,,47.20965164,125.7147607
"Sep 07, 2013",118.89,125.94,118.46,124.15,4.11%,,52.56557069,125.5306712
"Sep 08, 2013",124.13,124.72,120.49,121.66,-2.03%,,49.85297787,125.0752981
"Sep 09, 2013",121.86,129.06,119.75,127.11,4.38%,,55.29121265,125.3146748
"Sep 10, 2013",127.27,129.74,125.9,125.91,-0.95%,,53.90505781,125.3847131
"Sep 11, 2013",125.89,137.83,123.27,135.25,7.16%,,61.90937127,126.545335
"Sep 12, 2013",135.55,136.08,131.81,133.13,-1.58%,,59.38852133,127.3200015
"Sep 13, 2013",132.83,137.58,132.27,134.98,1.38%,,60.88527865,128.2211778
"Sep 14, 2013",135.01,135.85,128.87,129.22,-4.36%,,54.18878528,128.3386863
"Sep 15, 2013",129.4,131.44,128.26,130.37,0.89%,,55.24710365,128.5776644
"Sep 16, 2013",130.86,132.72,129.77,131.72,1.03%,,56.51704648,128.9473509
"Sep 17, 2013",131.59,132.76,124.89,131.66,-0.05%,,56.44038889,129.2664861
"Sep 18, 2013",131.71,133.2,130.54,131.47,-0.14%,,56.18052344,129.525723
"Sep 19, 2013",131.37,131.77,128.45,129.65,-1.39%,,53.63314044,129.5403439
"Sep 20, 2013",129.7,135.62,126.68,127.04,-2.03%,,50.12319011,129.2461858
"Sep 21, 2013",126.95,128.61,126.24,127.43,0.31%,,50.6429772,129.0325168
"Sep 22, 2013",127.87,133.94,126.59,129.12,1.32%,,52.93204634,129.042809
"Sep 23, 2013",128.98,132.72,125.66,125.95,-2.49%,,48.39791736,128.6789491
"Sep 24, 2013",126.05,127.46,125.39,127.25,1.03%,,50.27889958,128.5108374
"Sep 25, 2013",127.38,129.69,127.33,128.22,0.76%,,51.69382383,128.4766213
"Sep 26, 2013",128.21,134.93,127.32,128.38,0.12%,,51.93678574,128.4652541
"Sep 27, 2013",128.94,134.74,128.49,133.78,4.12%,,59.36514231,129.0905183
"Sep 28, 2013",133.77,135.63,132.56,134.78,0.74%,,60.58016844,129.7598691
"Sep 29, 2013",134.9,140.61,134.71,137.34,1.88%,,63.58226371,130.6516492
"Sep 30, 2013",137.15,138.35,130.27,133,-3.21%,,55.82085367,130.9279258
"Oct 01, 2013",132.68,134.63,131.55,132.18,-0.62%,,54.46798768,131.0752286
"Oct 02, 2013",132.05,133.59,102.25,114.13,-14.68%,,34.59335747,129.0816723
"Oct 03, 2013",114.45,123.63,111.82,123.63,8.00%,,45.80240742,128.4402991
"Oct 04, 2013",123.41,130.09,123.41,129.01,4.26%,,50.93099262,128.5073227
"Oct 05, 2013",128.63,130.44,128.03,128.55,-0.36%,,50.49105384,128.5123436
"Oct 06, 2013",128.36,129.66,126.15,129,0.35%,,50.93753062,128.5697149
"Oct 07, 2013",129.43,130.27,126.36,126.94,-1.61%,,48.76932085,128.3779838
"Oct 08, 2013",126.74,127.47,124.71,126,-0.74%,,47.77009236,128.098221
"Oct 09, 2013",125.85,131.75,125.58,130.69,3.65%,,52.94984296,128.4031361
"Oct 10, 2013",130.67,131.5,129.26,130.59,-0.08%,,52.82953946,128.6604142
"Oct 11, 2013",130.75,131.81,129.64,130.9,0.24%,,53.18463756,128.9238949
"Oct 12, 2013",130.9,135.66,130.56,135.19,3.22%,,57.90708874,129.6610838
"Oct 13, 2013",135.19,138.66,134.55,138.13,2.15%,,60.82369174,130.6574268
"Oct 14, 2013",139.27,144.12,138.9,140.52,1.72%,,63.06422221,131.8177296
"Oct 15, 2013",140.77,145.39,139.13,145.24,3.30%,,67.06967935,133.3968202
"Oct 16, 2013",145.65,152.23,142.43,142.55,-1.87%,,62.88423487,134.4736649
"Oct 17, 2013",142.41,147.42,142.41,146.25,2.56%,,66.02482449,135.8591161
"Oct 18, 2013",146.37,155.96,145.57,155.96,6.43%,,72.58168232,138.223926
"Oct 19, 2013",155.91,177.48,155.7,172.42,10.03%,,79.7248813,142.2469935
"Oct 20, 2013",171.66,174.91,168.95,174.61,1.26%,,80.45450282,146.054406
"Oct 21, 2013",174.8,184.82,174.8,182.21,4.26%,,82.77154867,150.3080053
"Oct 22, 2013",182.65,196.27,182.65,193.76,6.15%,,85.57102318,155.4200047
"Oct 23, 2013",193.36,213.62,192.38,213.62,9.76%,,88.90840694,162.267063
"Oct 24, 2013",214.3,217.42,168.52,198.23,-7.48%,,74.52347618,166.4979967
"Oct 25, 2013",197.69,198.87,168.5,186.69,-6.00%,,65.91193502,168.8735265
"Oct 26, 2013",187.45,188.41,175.75,177.32,-5.15%,,59.86317962,169.8672293
"Oct 27, 2013",176.6,196.44,176.6,196.44,10.24%,,66.59905051,172.9934376
"Oct 28, 2013",196.21,198.62,192.06,198.55,1.07%,,67.25219938,176.000092
"Oct 29, 2013",198.55,204.79,198.55,204.39,2.90%,,69.05582874,179.3400812
"Oct 30, 2013",204.39,209.16,199.97,199.97,-2.19%,,66.08902636,181.7671305
"Oct 31, 2013",199.83,205.18,198.85,204,2.00%,,67.46164936,184.3827622
"Nov 01, 2013",203.9,206.65,202.13,206.18,1.06%,,68.21123423,186.9471431
"Nov 02, 2013",205.81,207.76,201.65,206.22,0.02%,,68.22569826,189.214538
"Nov 03, 2013",205.99,215.05,203.99,215.05,4.19%,,71.32719534,192.2540041
"Nov 04, 2013",214.66,231.01,213.94,229.1,6.33%,,75.4358319,196.5888272
"Nov 05, 2013",229.21,250.66,226.22,245.24,6.81%,,79.13466547,202.3124946
"Nov 06, 2013",244.78,263,244.78,262.5,6.80%,,82.21827007,209.3933776
"Nov 07, 2013",261.68,304.17,261.55,296.41,12.15%,,86.45390954,219.6306273
"Nov 08, 2013",297.85,338.66,296.93,338.11,13.16%,,89.70235648,233.569377
"Nov 09, 2013",338.58,370.82,319.71,339.11,0.30%,,89.76573863,245.9859209
"Nov 10, 2013",348.82,350.7,277.24,326.62,-3.75%,,82.90228493,255.4722831
"Nov 11, 2013",325.41,351.27,311.78,342.44,4.73%,,84.51706747,265.7037792
"Nov 12, 2013",343.06,362.81,342.8,360.33,5.09%,,86.11418174,276.8362758
"Nov 13, 2013",360.97,414.05,359.8,407.37,12.27%,,89.25325454,292.1931845
"Nov 14, 2013",406.41,425.9,395.19,420.2,3.10%,,89.9224152,307.2528099
"Nov 15, 2013",419.41,437.89,396.11,417.95,-0.54%,,88.87725084,320.2760087
"Nov 16, 2013",417.28,450.26,415.57,440.22,5.19%,,90.10335409,334.3870665
"Nov 17, 2013",440.96,500.58,440.24,492.11,11.14%,,92.24769523,352.9427057
"Nov 18, 2013",496.58,703.78,494.94,703.56,35.75%,,96.02620258,394.1917992
"Nov 19, 2013",712.76,806.11,456.39,584.61,-18.52%,,74.13560141,416.5939405
"Nov 20, 2013",577.98,599.65,448.45,590.83,1.06%,,74.46342575,437.0923004
"Nov 21, 2013",594.32,733.4,577.29,722.43,20.11%,,80.1856904,470.6614415
"Nov 22, 2013",724.07,780.85,668.13,771.44,6.56%,,81.81958001,506.0471543
"Nov 23, 2013",771.7,844.97,771.7,797.82,3.36%,,82.64894268,540.3733714
"Nov 24, 2013",795.63,807.36,722.87,774.25,-3.00%,,79.17365515,567.8882689
"Nov 25, 2013",773.02,810.68,754.43,799.11,3.16%,,80.12301357,595.0908255
"Nov 26, 2013",805.73,928.54,800.8,928.1,14.96%,,84.15818278,634.2683755
"Nov 27, 2013",923.85,1001.96,891.68,1001.96,7.66%,,85.92068863,677.5262136
"Nov 28, 2013",1003.38,1077.56,962.17,1031.95,2.95%,,86.57386207,719.2231297
"Nov 29, 2013",1042.01,1146.97,1000.64,1131.97,9.25%,,88.49147837,767.781585
"Nov 30, 2013",1129.37,1156.14,1106.61,1129.43,-0.22%,,88.14716767,810.3284574
"Dec 01, 2013",1128.92,1133.08,801.82,955.85,-16.69%,,68.52493743,827.4486388
"Dec 02, 2013",951.42,1055.42,938.41,1043.33,8.76%,,71.91779051,852.846446
"Dec 03, 2013",1046.4,1096,1011.21,1078.28,3.29%,,73.16248794,879.3680406
"Dec 04, 2013",1077.58,1156.12,1070.16,1151.17,6.54%,,75.59226003,911.3447417
"Dec 05, 2013",1152.73,1154.36,897.11,1045.11,-9.67%,,66.20038779,927.0818309
"Dec 06, 2013",1042.38,1042.38,829.45,829.45,-23.11%,,52.0415468,915.5957332
"Dec 07, 2013",835.32,854.64,640.22,698.23,-17.22%,,45.64461352,890.023294
"Dec 08, 2013",697.31,802.51,670.88,795.87,13.09%,,50.51851525,878.9464359
"Dec 09, 2013",793.8,921.93,780.9,893.19,11.54%,,54.8628869,880.6221493
"Dec 10, 2013",892.32,997.23,892.32,988.51,10.14%,,58.68866757,893.3148376
"Dec 11, 2013",989.07,1001.58,834.23,878.48,-11.80%,,53.09435881,891.5695626
"Dec 12, 2013",882.78,901.94,844.95,873.26,-0.60%,,52.83703811,889.4154964
"Dec 13, 2013",874.98,941.79,860.05,892.58,2.19%,,53.73083594,889.787791
"Dec 14, 2013",899.85,904.65,858.36,872.6,-2.26%,,52.62021993,887.7656979
"Dec 15, 2013",875.29,886.16,825,876.12,0.40%,,52.80530245,886.3956158
"Dec 16, 2013",880.33,882.25,668.25,705.97,-21.59%,,43.88187819,865.1690728
"Dec 17, 2013",706.37,754.83,630.88,682.12,-3.44%,,42.79033529,843.6338877
"Dec 18, 2013",678.2,679.32,420.51,522.7,-26.62%,,36.29195565,805.8769598
"Dec 19, 2013",519.06,707.23,502.89,691.96,28.05%,,45.71766652,792.4749645
"Dec 20, 2013",694.22,729.16,595.33,625.32,-10.13%,,43.01902184,772.8096746
"Dec 21, 2013",619.9,654.27,579.17,605.66,-3.19%,,42.2270932,753.145007
"Dec 22, 2013",601.78,666.74,585.64,617.18,1.88%,,42.89051148,737.1491238
"Dec 23, 2013",613.06,680.91,611.04,673.41,8.72%,,46.14151639,729.6504033
"Dec 24, 2013",672.36,684.39,645.71,665.58,-1.17%,,45.75095627,722.1127088
"Dec 25, 2013",666.31,682.7,649.48,682.21,2.47%,,46.78128447,717.4182725
"Dec 26, 2013",683.94,777.75,683.94,761.98,11.06%,,51.53610214,722.6608287
"Dec 27, 2013",763.28,777.51,713.6,735.07,-3.60%,,49.91590733,724.1207312
"Dec 28, 2013",737.98,747.06,705.35,727.83,-0.99%,,49.46533329,724.5571158
"Dec 29, 2013",728.05,748.61,714.44,745.05,2.34%,,50.60734055,726.9680433
"Dec 30, 2013",741.35,766.6,740.24,756.13,1.48%,,51.36886727,730.3988617
"Dec 31, 2013",760.32,760.58,738.17,754.01,-0.28%,,51.20619033,733.1766427
"Jan 01, 2014",754.97,775.35,754.97,771.4,2.28%,,52.53406307,737.6735083
"Jan 02, 2014",773.44,820.31,767.21,802.39,3.94%,,54.89003904,745.2872132
"Jan 03, 2014",802.85,834.15,789.12,818.72,2.01%,,56.12583551,753.9263646
"Jan 04, 2014",823.27,859.51,801.67,859.51,4.86%,,59.1371451,766.3479687
"Jan 05, 2014",858.55,952.4,854.52,933.53,8.26%,,63.96987356,786.016443
"Jan 06, 2014",936.05,1017.12,905.71,953.29,2.09%,,65.15463589,805.695685
"Jan 07, 2014",946.49,965.74,802,802,-17.28%,,51.25736069,805.2608985
"Jan 08, 2014",795.99,870.68,776.18,842.72,4.95%,,54.09542687,809.6678516
"Jan 09, 2014",841.47,864.36,804.14,846.86,0.49%,,54.38622177,814.0433985
"Jan 10, 2014",846.69,871.19,822.6,868.48,2.52%,,55.95536948,820.4477046
"Jan 11, 2014",867.32,921.48,861.72,913.95,5.10%,,59.13905483,831.4479746
"Jan 12, 2014",919.6,928.52,851.17,863.22,-5.71%,,54.41334368,835.18586
"Jan 13, 2014",860.19,861.29,806.05,841.2,-2.58%,,52.45400904,835.8934058
"Jan 14, 2014",843.17,855.69,825.66,833.27,-0.95%,,51.73157294,835.5847699
"Jan 15, 2014",833.12,872.81,830.86,860.9,3.26%,,54.1034552,838.5630322
"Jan 16, 2014",860.29,866.16,835.63,835.63,-2.98%,,51.60577229,838.2179696
"Jan 17, 2014",834.49,842.91,797.63,814.64,-2.54%,,49.55919375,835.4440908
"Jan 18, 2014",816.07,841.49,816.07,840,3.07%,,52.03423804,835.9800802
"Jan 19, 2014",839.66,870.96,825.53,870.96,3.62%,,54.94105924,840.0953648
"Jan 20, 2014",871.39,886.39,853.87,870.2,-0.09%,,54.85318004,843.6370866
"Jan 21, 2014",869.65,881.2,855.93,863.91,-0.73%,,54.08216144,846.0221353
"Jan 22, 2014",867.21,870.15,837.36,845.59,-2.14%,,51.79845964,845.9712958
"Jan 23, 2014",845.46,851.57,819.32,822.04,-2.82%,,48.93771453,843.1558492
"Jan 24, 2014",822.43,822.43,783.58,797.07,-3.08%,,46.03463245,837.7339846
"Jan 25, 2014",796.24,861.45,792.96,853.61,6.85%,,52.85452581,839.6017511
"Jan 26, 2014",853.68,897.02,844.86,885.28,3.64%,,56.19396353,844.9756628
"Jan 27, 2014",884.6,893,757.11,771.39,-13.77%,,44.09725736,836.318526
"Jan 28, 2014",774.02,832.5,766.98,812.51,5.19%,,48.41496647,833.5175229
"Jan 29, 2014",809.96,836.87,809.85,826,1.65%,,49.78520288,832.6331085
"Jan 30, 2014",826.02,830.5,799.06,819.03,-0.85%,,49.06008997,831.0327428
"Jan 31, 2014",818.43,831.87,812.6,829.92,1.32%,,50.27859831,830.9018318
"Feb 01, 2014",828.61,853.52,827.11,832.58,0.32%,,50.58950351,831.0992634
"Feb 02, 2014",832.9,844.72,820.67,825.37,-0.87%,,49.68266938,830.4252324
"Feb 03, 2014",824.08,826.48,807.22,823.83,-0.19%,,49.47865748,829.6493227
"Feb 04, 2014",823.77,840.17,820.94,827.96,0.50%,,50.07079049,829.4505789
"Feb 05, 2014",829.96,837.32,811.91,811.91,-1.96%,,47.72957378,827.3869813
"Feb 06, 2014",815.59,819.81,770.59,781.55,-3.81%,,43.578671,821.9943953
"Feb 07, 2014",783.2,783.2,654.35,712.4,-9.26%,,35.91690313,809.100937
"Feb 08, 2014",699.57,721.82,661.87,673.92,-5.55%,,32.49335009,793.1972974
"Feb 09, 2014",671.46,712.27,655.25,682.9,1.32%,,34.07266827,780.2211448
"Feb 10, 2014",681.32,703.71,550.5,681.03,-0.27%,,33.89483763,768.5515983
"Feb 11, 2014",683.5,712.46,636.66,672.17,-1.31%,,33.01561939,757.2125867
"Feb 12, 2014",672.38,672.9,643.04,651.72,-3.09%,,31.01580164,744.8016942
"Feb 13, 2014",651.08,657.99,601.91,605.24,-7.40%,,27.01109548,728.3826713
"Feb 14, 2014",601.17,691.72,541.04,661.99,8.96%,,37.60428707,720.5717688
"Feb 15, 2014",660.9,661.84,632.84,650.92,-1.69%,,36.49170868,712.3774431
"Feb 16, 2014",651.3,665.1,584.17,616.63,-5.41%,,33.21366588,701.113038
"Feb 17, 2014",614.23,656.95,607.31,626.27,1.55%,,34.98193631,692.3079747
"Feb 18, 2014",627.16,645.76,612.54,626.6,0.05%,,35.04533685,684.5776248
"Feb 19, 2014",625.97,631.77,618.7,623.03,-0.57%,,34.65167605,677.3367277
"Feb 20, 2014",623.09,627.73,556.14,556.14,-11.36%,,28.24886598,663.0782892
"Feb 21, 2014",556.88,582.96,530.47,574.16,3.19%,,31.89955307,652.617314
"Feb 22, 2014",574.24,614.48,558.58,605.42,5.30%,,37.8108072,647.0646888
"Feb 23, 2014",606.47,639.91,599.7,605.82,0.07%,,37.88510588,642.2123725
"Feb 24, 2014",606.04,607.61,538.7,546.32,-10.34%,,31.79921389,630.9309169
"Feb 25, 2014",540.24,541.38,420.41,538.71,-1.40%,,31.11084705,620.0813973
"Feb 26, 2014",537.04,603.8,532.58,582.69,7.85%,,39.29017786,615.6824093
"Feb 27, 2014",581.65,594.05,566.62,578.77,-0.68%,,38.84744181,611.3397729
"Feb 28, 2014",579.7,584.14,545.17,549.26,-5.23%,,35.59563007,604.0362702
"Mar 01, 2014",549.92,573.38,539.29,565.61,2.93%,,38.65931985,599.5155326
"Mar 02, 2014",567.23,570.48,553.27,559.79,-1.03%,,37.96697047,594.8419405
"Mar 03, 2014",562.56,702.91,560.52,667.76,17.64%,,54.31345076,603.4205357
"Mar 04, 2014",668.24,696.22,655.68,666.78,-0.15%,,54.17391064,610.8745904
"Mar 05, 2014",666.24,674.28,646.28,665.51,-0.19%,,53.98036212,617.3022856
"Mar 06, 2014",664.52,669.77,649.79,663.86,-0.25%,,53.71186799,622.7796638
"Mar 07, 2014",664.31,665.34,616.35,629.15,-5.37%,,48.27243561,623.5291151
