"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1620",2017-05-08,27.719999,27.809999,26.76,27.129999,3787500,-5.241691652,"hold",32.1969495,32.1047807,2399.379883
"1621",2017-05-09,26.309999,27.370001,26.209999,27,4332600,-0.480322381,"hold",31.99520374,31.50421826,2396.919922
"1622",2017-05-10,27.26,27.280001,26.73,27.18,4882600,0.664454272,"hold",32.62472073,30.9954867,2399.629883
"1623",2017-05-11,27.870001,29.07,26.940001,27.049999,5496900,-0.47944404,"hold",32.39150496,30.53131168,2394.439941
"1624",2017-05-12,27.34,27.559999,26.98,26.99,3220800,-0.222054129,"sell",32.27682595,30.11468677,2390.899902
"1625",2017-05-15,26.43,26.6,25.629999,25.85,3536000,-4.315582608,"sell",30.09653326,29.61295892,2402.320068
"1626",2017-05-16,25.23,25.860001,25,25.290001,4811900,-2.190150073,"buy",29.0581469,29.10437563,2400.669922
"1627",2017-05-17,28.43,34.450001,27.639999,34.369999,19467300,30.67749615,"sell",55.7293109,29.72386074,2357.030029
"1628",2017-05-18,33.91,34.400002,30.809999,32.919998,18042600,-4.310374671,"sell",52.34491491,30.09987688,2365.719971
"1629",2017-05-19,30.57,30.629999,27.01,28.17,14901500,-15.58227332,"sell",43.10908175,29.87283254,2381.72998
"1630",2017-05-22,26.51,26.559999,25.32,25.6,7666100,-9.56652304,"hold",39.09029544,29.37014636,2394.02002
"1631",2017-05-23,25.219999,25.940001,25.08,25.49,6988800,-0.43061331,"sell",38.92304119,28.91365856,2398.419922
"1632",2017-05-24,25.290001,25.940001,23.93,24.209999,6848900,-5.152048874,"buy",36.94227098,28.36028684,2404.389893
"1633",2017-05-25,24.1,25,23.889999,24.65,7808000,1.801117084,"sell",38.10824314,27.92378251,2415.070068
"1634",2017-05-26,24.92,24.92,23.709999,23.82,5819500,-3.425133656,"hold",36.72861048,27.44098457,2415.820068
"1635",2017-05-30,24.42,24.5,23.360001,23.530001,5801000,-1.224931869,"hold",36.23500951,26.98086885,2412.909912
"1636",2017-05-31,23.24,24.959999,23.120001,23.860001,10815200,1.392721334,"sell",37.26815549,26.61370793,2411.800049
"1637",2017-06-01,23.299999,23.43,22.719999,22.77,6408300,-4.675957851,"hold",35.2372972,26.161507,2430.060059
"1638",2017-06-02,22.940001,23.120001,22.41,22.85,5644300,0.350723726,"hold",35.51504326,25.77191794,2439.070068
"1639",2017-06-05,23.08,23.1,22.129999,23.059999,4504700,0.914835414,"buy",36.28747425,25.45286865,2436.100098
"1640",2017-06-06,23.549999,24.32,23.200001,24.09,7622700,4.369734515,"sell",40.07876535,25.29253116,2429.330078
"1641",2017-06-07,23.59,24.83,23.33,23.559999,6975300,-2.224650029,"sell",38.79935305,25.08870385,2433.139893
"1642",2017-06-08,23.5,23.549999,22.200001,22.530001,7631700,-4.470251751,"buy",36.36951111,24.78767998,2433.790039
"1643",2017-06-09,22.07,25.200001,21.6,23.07,14066100,2.368527336,"buy",38.54255887,24.58559999,2431.77002
"1644",2017-06-12,23.709999,24.9,23.49,23.66,10637100,2.525278636,"sell",40.91673134,24.47670587,2429.389893
"1645",2017-06-13,22.65,22.860001,21.940001,22.08,6780200,-6.911363714,"hold",36.81512625,24.19474047,2440.350098
"1646",2017-06-14,22,22.719999,21.68,21.85,11145900,-1.047129987,"buy",36.24553558,23.91888865,2437.919922
"1647",2017-06-15,23.59,23.690001,21.99,22.360001,9395500,2.307277147,"sell",38.51706839,23.73549011,2432.459961
"1648",2017-06-16,21.98,22.82,21.879999,21.950001,6405800,-1.850650793,"sell",37.36450413,23.52543256,2433.149902
"1649",2017-06-19,21.17,21.209999,20.379999,20.6,7532900,-6.347610928,"buy",33.78016864,23.18126403,2453.459961
"1650",2017-06-20,21.02,21.889999,20.92,21.719999,8559000,5.294237323,"sell",39.00765589,23.00935049,2437.030029
"1651",2017-06-21,20.99,21.73,20.75,21.34,8456000,-1.765020315,"sell",37.91406529,22.81295632,2435.610107
"1652",2017-06-22,21.23,21.49,20.68,20.940001,5442300,-1.892199268,"sell",36.74623718,22.59260863,2434.5
"1653",2017-06-23,20.879999,21.16,20.42,20.51,3769200,-2.074868111,"sell",35.48100642,22.34759585,2438.300049
"1654",2017-06-26,19.969999,20.370001,19.57,19.629999,5723300,-4.385361474,"buy",32.97844135,22.02787858,2439.070068
